movie_name,released_Year,runtime,Certificate,rating,vote_count,meta_score,director
Memories of Underdevelopment,1968,1h 37m,Not Rated,7.6,4.9K,,Tomás Gutiérrez Alea
Performance,1970,1h 45m,R,6.7,12K,,Donald Cammell
Parasite,2019,2h 12m,R,8.5,1M,97,Bong Joon Ho
Eraserhead,1977,1h 29m,Not Rated,7.3,132K,87,David Lynch
"Ivan the Terrible, Part II: The Boyars' Plot",1946,1h 28m,Not Rated,7.8,8.3K,,Sergei Eisenstein
The Band Wagon,1953,1h 52m,Approved,7.4,13K,93,Vincente Minnelli
The Best Years of Our Lives,1946,2h 50m,Approved,8.1,73K,93,William Wyler
Caché,2005,1h 57m,R,7.3,87K,87,Michael Haneke
The Thin Red Line,1998,2h 50m,R,7.6,204K,78,Terrence Malick
Meet Me in St. Louis,1944,1h 53m,Approved,7.5,29K,94,Vincente Minnelli
In a Lonely Place,1950,1h 34m,Approved,7.9,37K,,Nicholas Ray
"Ivan the Terrible, Part I",1944,1h 35m,Not Rated,7.7,11K,,Sergei Eisenstein
Eternal Sunshine of the Spotless Mind,2004,1h 48m,R,8.3,1.1M,89,Michel Gondry
The Big Lebowski,1998,1h 57m,R,8.1,880K,71,Joel Coen
Daughters of the Dust,1991,1h 53m,TV-PG,6.6,3.5K,81,Julie Dash
The Green Ray,1986,1h 39m,R,7.6,11K,,Éric Rohmer
Belle de Jour,1967,1h 40m,Approved,7.6,51K,,Luis Buñuel
Diary of a Country Priest,1951,1h 35m,Not Rated,7.7,13K,,Robert Bresson
Red River,1948,2h 13m,Approved,7.7,35K,96,Howard Hawks
Tabu: A Story of the South Seas,1931,1h 26m,TV-PG,7.4,6.6K,,F.W. Murnau
The Graduate,1967,1h 46m,PG,8.0,294K,83,Mike Nichols
Cinema Paradiso,1988,2h 54m,PG,8.5,295K,80,Giuseppe Tornatore
Night and Fog,1956,32m,TV-14,8.6,22K,,Alain Resnais
Uncle Boonmee Who Can Recall His Past Lives,2010,1h 54m,Not Rated,6.7,18K,87,Apichatpong Weerasethakul
Heat,1995,2h 50m,R,8.3,742K,76,Michael Mann
The Cabinet of Dr. Caligari,1920,1h 7m,Not Rated,8.0,72K,,Robert Wiene
The Treasure of the Sierra Madre,1948,2h 6m,Approved,8.2,136K,98,John Huston
Kind Hearts and Coronets,1949,1h 46m,Approved,8.0,40K,,Robert Hamer
Schindler's List,1993,3h 15m,R,9.0,1.5M,95,Steven Spielberg
Fargo,1996,1h 38m,R,8.1,744K,88,Joel Coen
The Exorcist,1973,2h 2m,R,8.1,471K,83,William Friedkin
Eyes Wide Shut,1999,2h 39m,TV-MA,7.5,391K,69,Stanley Kubrick
Black Girl,1966,1h 5m,Not Rated,7.4,6.4K,75,Ousmane Sembene
Taste of Cherry,1997,1h 35m,Not Rated,7.7,39K,80,Abbas Kiarostami
F for Fake,1973,1h 29m,PG,7.7,19K,87,Orson Welles
The Swamp,2001,1h 43m,Not Rated,7.0,8.3K,78,Lucrecia Martel
Three Colors: Blue,1993,1h 38m,R,7.8,113K,87,Krzysztof Kieslowski
The Shop Around the Corner,1940,1h 39m,Approved,8.0,41K,96,Ernst Lubitsch
The Story of the Last Chrysanthemum,1939,2h 28m,Not Rated,7.8,4.6K,,Kenji Mizoguchi
Sweet Smell of Success,1957,1h 36m,Approved,8.0,37K,100,Alexander Mackendrick
My Night at Maud's,1969,1h 45m,GP,7.8,15K,,Éric Rohmer
Groundhog Day,1993,1h 41m,PG,8.0,705K,72,Harold Ramis
Day of Wrath,1943,1h 50m,Not Rated,8.1,11K,,Carl Theodor Dreyer
Pandora's Box,1929,1h 49m,Not Rated,7.7,12K,,Georg Wilhelm Pabst
"Goodbye, Dragon Inn",2003,1h 22m,,7.1,6.6K,83,Tsai Ming-liang
The Ascent,1977,1h 51m,,8.2,11K,,Larisa Shepitko
Throne of Blood,1957,1h 50m,Not Rated,8.0,57K,,Akira Kurosawa
All That Heaven Allows,1955,1h 29m,Approved,7.6,17K,78,Douglas Sirk
2 or 3 Things I Know About Her,1967,1h 27m,Not Rated,6.5,8.8K,,Jean-Luc Godard
Three Colors: Red,1994,1h 39m,R,8.1,113K,100,Krzysztof Kieslowski
India Song,1975,2h,,6.1,2.7K,,Marguerite Duras
Paths of Glory,1957,1h 28m,Approved,8.4,223K,90,Stanley Kubrick
Back to the Future,1985,1h 56m,PG,8.5,1.4M,87,Robert Zemeckis
All About My Mother,1999,1h 41m,R,7.8,105K,87,Pedro Almodóvar
The Big Sleep,1946,1h 54m,Approved,7.9,92K,86,Howard Hawks
Army of Shadows,1969,2h 25m,Not Rated,8.1,27K,99,Jean-Pierre Melville
Happy Together,1997,1h 36m,Not Rated,7.7,36K,70,Wong Kar-Wai
"Distant Voices, Still Lives",1988,1h 24m,PG-13,7.4,5.4K,86,Terence Davies
Mean Streets,1973,1h 52m,R,7.2,123K,96,Martin Scorsese
Floating Clouds,1955,2h 3m,,7.6,3.3K,,Mikio Naruse
The Sacrifice,1986,2h 29m,PG,7.9,32K,85,Andrei Tarkovsky
Monsieur Hulot's Holiday,1953,1h 23m,Not Rated,7.3,21K,90,Jacques Tati
Unforgiven,1992,2h 10m,R,8.2,447K,85,Clint Eastwood
The Music Room,1958,1h 35m,Not Rated,7.9,7K,,Satyajit Ray
Entranced Earth,1967,1h 48m,,7.3,3.7K,,Glauber Rocha
Nanook of the North,1922,1h 18m,Passed,7.6,14K,,Robert J. Flaherty
Charulata,1964,1h 57m,Not Rated,8.1,7.5K,,Satyajit Ray
The Maltese Falcon,1941,1h 40m,Approved,7.9,170K,97,John Huston
